Section,Requirement / Credential,Required,Client Instructions,Corelytics Notes
Client Information,Client legal name,Yes,"Enter the legal company name for the QuickBooks Enterprise file.","Used to match the accounting connection to the correct company."
Client Information,Primary business contact,Yes,"Enter name, email, phone, and time zone.","Needed for setup scheduling and validation signoff."
Client Information,Primary technical / IT contact,Yes,"Enter name, email, phone, and time zone.","Needed for host machine, firewall, Web Connector, and troubleshooting."
Client Information,Accounting / finance validation owner,Yes,"Enter the person responsible for approving reconciliation results.","This person should know the financial statements and reporting expectations."
QuickBooks Environment,QuickBooks edition and year,Yes,"Enter QuickBooks Enterprise edition and year, for example QuickBooks Enterprise 2024.","Confirm this is Enterprise, not Pro/Premier/Online."
QuickBooks Environment,QuickBooks release/version,Yes,"Open QuickBooks and press F2. Enter the full product/release/version shown.","Attach screenshot of F2 Product Information if possible."
QuickBooks Environment,Country version,Yes,"Enter United States, Canada, UK, or other country version.","Affects SDK/report behavior."
QuickBooks Environment,Production company file name,Yes,"Enter the exact production company file name.","Used to confirm the target company file."
QuickBooks Environment,Company file path (.QBW),Yes,"Enter the full Windows path to the target .QBW file.","Example: C:\Users\Public\Documents\Intuit\QuickBooks\Company Files\Company.qbw"
QuickBooks Environment,Company file hosted?,Yes,"Enter Local machine, Windows Server, RDS, Rightworks, or other hosting provider.","Determines where Web Connector runs."
QuickBooks Environment,Single-user or multi-user mode,Yes,"Enter whether the file normally runs in single-user or multi-user mode.","Some setup steps may require admin access to the file."
QuickBooks Environment,Number of active company files,If applicable,"Enter whether multiple QuickBooks company files are used.","Helps avoid connecting the wrong file."
Host Machine,QuickBooks host machine name,Yes,"Enter the Windows computer/server name where QuickBooks and Web Connector will run.","Required for support and scheduling."
Host Machine,Host machine location / owner,Yes,"Enter physical/virtual location and owner/team responsible for the machine.","Needed for operational support."
Host Machine,Can host remain online during sync windows?,Yes,"Enter Yes or No.","Scheduled sync requires host availability."
Host Machine,Windows user that runs QuickBooks/Web Connector,Yes,"Enter the Windows username or service user responsible for running the connector.","Do not provide Windows password in this file."
Host Machine,Local admin rights available for setup?,Yes,"Enter Yes or No.","May be needed to install/update Web Connector or adjust permissions."
Web Connector,QuickBooks Web Connector installed?,Yes,"Enter Yes or No.","If No, client must install supported QuickBooks Web Connector."
Web Connector,Web Connector version,Yes,"Open Web Connector and enter the version number.","Needed for compatibility troubleshooting."
Web Connector,Web Connector auto-run/polling interval,Yes,"Enter desired polling interval, for example 5 minutes, 15 minutes, 60 minutes.","Shorter intervals can increase load on QuickBooks."
Web Connector,Who will click Update Selected if manual run needed?,Yes,"Enter client contact/team responsible for manual Web Connector runs.","Needed during setup/backfills."
Web Connector,Permission to import Corelytics .QWC file,Yes,"Confirm client can import the Corelytics QWC file into Web Connector.","QWC import is required for Web Connector setup."
Corelytics Endpoint,SOAP/App endpoint URL,Yes,"Enter or confirm the Corelytics Web Connector endpoint URL provided by Corelytics.","Example production endpoint should be supplied by Corelytics."
Corelytics Endpoint,Support URL,Recommended,"Enter support URL or confirm Corelytics support URL.","Displayed in Web Connector metadata."
Corelytics Endpoint,Application name,Yes,"Confirm the application name that will appear in QuickBooks/Web Connector.","Usually Corelytics Data Connector."
Web Connector Credentials,Web Connector username,Yes,"Enter the Corelytics-provided Web Connector username.","This is not a QuickBooks user."
Web Connector Credentials,Web Connector password,Yes,"Enter the Corelytics-provided Web Connector password using secure transfer only.","Do not email plain-text passwords."
Web Connector Credentials,Credential transfer method,Yes,"Enter secure transfer method, for example password vault, secure portal, or phone handoff.","Corelytics should not receive credentials over normal email."
QuickBooks Authorization,QuickBooks Admin user available?,Yes,"Confirm a QuickBooks Admin user can open the company file during setup.","Admin must approve the integrated application certificate."
QuickBooks Authorization,Authorization setup window,Yes,"Enter date/time when QuickBooks Admin can approve the connection.","Required for first-time SDK/Web Connector authorization."
QuickBooks Authorization,Allow access when QuickBooks is not running?,Recommended,"Enter Yes or No.","Recommended for unattended scheduled syncs."
QuickBooks Authorization,Permission scope,Yes,"Enter Read-only or Read/write as agreed.","Corelytics normally requires read-only for reporting syncs."
QuickBooks Authorization,Integrated application certificate approved?,After setup,"Enter Yes once the Corelytics app is approved in QuickBooks.","Used as setup checklist item."
Network / Security,Outbound HTTPS allowed from host?,Yes,"Confirm outbound HTTPS from the QuickBooks host to Corelytics is allowed.","Required for Web Connector to reach Corelytics."
Network / Security,Proxy required?,If applicable,"Enter proxy host/port/auth instructions if outbound traffic requires a proxy.","May require IT support."
Network / Security,IP/domain allowlisting required?,If applicable,"Enter allowlist requirements or security contact.","Corelytics can provide endpoint/domain details."
Network / Security,Firewall or EDR restrictions,If applicable,"Describe any antivirus, EDR, or firewall restrictions for Web Connector/QuickBooks.","May impact sync reliability."
Network / Security,Security review required?,If applicable,"Enter Yes/No and provide review owner/process.","Needed before production connection if applicable."
Sync Scope,Initial historical start date,Yes,"Enter the earliest transaction/report date Corelytics should sync.","Example: 2023-01-01."
Sync Scope,Initial historical end date,Yes,"Enter the backfill end date or current date.","Used for initial queueing."
Sync Scope,Ongoing sync frequency,Yes,"Enter Daily, Hourly, Weekly, or Manual.","Should match operating expectations and QuickBooks host availability."
Sync Scope,Preferred sync time / window,Yes,"Enter local time and time zone for normal scheduled sync.","Avoid periods when QuickBooks users are closing books."
Sync Scope,Blackout windows,If applicable,"Enter times when sync should not run.","Helpful during payroll, month-end close, backups, or heavy operations."
Sync Scope,Sync direction,Yes,"Enter QB to Corelytics or Two-way.","Reporting integrations should normally be QB to Corelytics."
Data Domains,Chart of Accounts,Yes,"Enter Include or Exclude.","Usually required."
Data Domains,Customers / Jobs,Yes,"Enter Include or Exclude.","Needed for revenue/customer reporting."
Data Domains,Vendors,Yes,"Enter Include or Exclude.","Needed for AP/vendor reporting."
Data Domains,Items / Products,Recommended,"Enter Include or Exclude.","Needed for product/service detail where available."
Data Domains,Classes,If applicable,"Enter Include or Exclude and describe class usage.","Needed if class tracking drives divisions/locations/LOBs."
Data Domains,Customer Types / Job Types,If applicable,"Enter Include or Exclude.","Useful for segmentation."
Data Domains,Invoices,Yes,"Enter Include or Exclude.","Needed for AR, revenue, paid/open status, and customer trends."
Data Domains,Receive Payments,Yes,"Enter Include or Exclude.","Needed for cash receipts and paid status."
Data Domains,Bills,Yes,"Enter Include or Exclude.","Needed for AP and vendor trends."
Data Domains,Bill Payments - Checks,Recommended,"Enter Include or Exclude.","Needed for paid bill status and cash disbursements."
Data Domains,Bill Payments - Credit Cards,Recommended,"Enter Include or Exclude.","Needed for paid bill status and credit card payment flows."
Data Domains,Sales Receipts,If applicable,"Enter Include or Exclude.","Needed if revenue is recorded through sales receipts."
Data Domains,Credit Memos,If applicable,"Enter Include or Exclude.","Needed for revenue adjustments."
Data Domains,Deposits,If applicable,"Enter Include or Exclude.","Needed for cash reconciliation."
Data Domains,Checks,If applicable,"Enter Include or Exclude.","Needed for direct expense payments."
Data Domains,Journal Entries,Recommended,"Enter Include or Exclude.","Needed for accruals, adjustments, and financial statement completeness."
Data Domains,Trial Balance Report,Yes,"Enter Include or Exclude.","Used for financial reconciliation."
Data Domains,Balance Sheet Standard Report,Yes,"Enter Include or Exclude.","Used for balance sheet reconciliation and trend snapshots."
Data Domains,Profit and Loss Standard Report,Recommended,"Enter Include or Exclude.","Used for income statement reconciliation if enabled."
Data Domains,General Ledger Detail Report,If applicable,"Enter Include or Exclude.","Large pulls should be scheduled carefully."
Data Domains,AR Aging Summary Report,Recommended,"Enter Include or Exclude.","Needed for AR aging snapshots/trends."
Data Domains,AP Aging Summary Report,Recommended,"Enter Include or Exclude.","Needed for AP aging snapshots/trends."
Financial Mapping,Fiscal year start month,Yes,"Enter fiscal year start month.","Used for period reporting."
Financial Mapping,Home/reporting currency,Yes,"Enter home currency.","Needed for financial reporting."
Financial Mapping,Multi-currency enabled?,If applicable,"Enter Yes or No.","Affects transaction/report handling."
Financial Mapping,Class tracking enabled?,If applicable,"Enter Yes or No and describe class structure.","Used for segment/LOB reporting."
Financial Mapping,Location/site tracking enabled?,If applicable,"Enter Yes or No and describe structure.","QuickBooks Desktop may represent this with classes, customers/jobs, or custom fields."
Financial Mapping,Accounts to exclude,If applicable,"List accounts/entities that should be excluded from reporting.","Examples: intercompany, inactive, legacy, clearing."
Financial Mapping,Custom rollups / reporting groups,If applicable,"Describe any custom financial statement grouping rules.","Corelytics uses this for account mapping."
Validation,Reports used for reconciliation,Yes,"List reports client uses to validate P&L, Balance Sheet, Trial Balance, AR Aging, and AP Aging.","Corelytics will compare imported results to these reports."
Validation,Validation period(s),Yes,"Enter month(s) or date range to validate.","Example: March 2026 month-end."
Validation,Acceptable variance threshold,Yes,"Enter acceptable dollar or percentage variance.","Example: $1 or 0.1%."
Validation,Signoff owner,Yes,"Enter name and email of validation approver.","Needed before go-live."
Attachments Requested,F2 Product Information screenshot,Recommended,"Attach screenshot from QuickBooks F2 screen.","Helps confirm version/release."
Attachments Requested,Company file path screenshot,Recommended,"Attach screenshot showing the target .QBW path if available.","Helps prevent wrong-file setup."
Attachments Requested,Sample reconciliation reports,Recommended,"Attach P&L, Balance Sheet, Trial Balance, AR Aging, and AP Aging reports for validation period.","Use PDFs or Excel exports."
Attachments Requested,Network/security requirements,If applicable,"Attach internal security questionnaire or vendor access requirements.","Needed for IT approval."
Important Note,Do not email passwords,Yes,"Use secure credential transfer for passwords, secrets, tokens, and private keys.","This CSV is an intake checklist, not a secure password vault."
