Field,Required,Client Response,Notes / Example
SAP Tenant Base URL,Yes,,"Example: https://company.sap.com"
SAP OData Service Root,Yes,,"Usually: /sap/opu/odata/sap"
Company Code,Yes,,"Example: 1000"
Ledger,Yes,,"Usually: 0L"
Chart of Accounts,No,,"Example: YCOA"
Authentication Method,Yes,,"OAuth2 preferred. Other options: SAML, Basic Authentication, Client Certificate"
OAuth Client ID,If OAuth2,,"Required only for OAuth2"
OAuth Client Secret,If OAuth2,,"Required only for OAuth2"
OAuth Token URL,If OAuth2,,"Required only for OAuth2"
OAuth Scopes,No,,"If SAP requires specific scopes"
SAP Username,If Basic Authentication,,"Required only for Basic Authentication"
SAP Password,If Basic Authentication,,"Required only for Basic Authentication"
Client Certificate Alias / Subject,If Client Certificate,,"Required only for client-certificate authentication"
SAP Technical Contact Name,Yes,,"Person responsible for SAP API access"
SAP Technical Contact Email,Yes,,"Email for connection testing and troubleshooting"
