Date,Revenue,Expense,Total Assets,Total Liabilities,Total Equity
2023-01,100000,75000,185000,80000,105000
2023-02,105000,76000,189000,81000,108000
2023-03,110000,77000,195000,83000,112000
2023-04,115000,78000,205000,84000,121000
2023-05,120000,79000,210000,86000,124000
2023-06,125000,80000,217000,87000,130000
2023-07,130000,81000,222000,89000,133000
2023-08,135000,82000,233000,90000,143000
2023-09,140000,83000,238000,92000,146000
2023-10,145000,84000,244000,93000,151000
2023-11,150000,85000,255000,95000,160000
2023-12,155000,86000,262000,96000,166000
2024-01,160000,87000,267000,96000,171000
2024-02,165000,88000,280000,97000,183000
2024-03,170000,89000,285000,99000,186000
2024-04,175000,90000,291000,100000,191000
2024-05,180000,91000,303000,102000,201000
2024-06,185000,92000,309000,103000,206000
2024-07,190000,93000,315000,105000,210000
2024-08,195000,94000,327000,106000,221000
2024-09,200000,95000,332000,108000,224000
2024-10,205000,96000,339000,109000,230000
2024-11,210000,97000,350000,111000,239000
2024-12,215000,98000,357000,112000,245000


