Data Source,Provider / System,Credential Field,Required,Client Instructions,Corelytics Notes
ICE Encompass,ICE Mortgage Technology Encompass,Environment,Yes,"Enter Sandbox, Test, or Production.","Used to route validation and import requests."
ICE Encompass,ICE Mortgage Technology Encompass,Instance / Tenant ID,Yes,"Enter the Encompass instance, tenant, or client ID provided by ICE.","May be called Client ID, Tenant ID, or Instance ID depending on setup."
ICE Encompass,ICE Mortgage Technology Encompass,API Base URL,Yes,"Enter the API base URL for the selected environment.","Example value should come from ICE documentation or customer admin."
ICE Encompass,ICE Mortgage Technology Encompass,API Client ID,Yes,"Enter the registered application client ID.","Do not send screenshots; paste the value in the secure intake form if available."
ICE Encompass,ICE Mortgage Technology Encompass,API Client Secret,Yes,"Enter the registered application client secret.","Treat as sensitive. Send only through approved secure channel."
ICE Encompass,ICE Mortgage Technology Encompass,Username / Service Account,If applicable,"Enter the integration user or service account username if required.","Prefer a dedicated read-only integration user."
ICE Encompass,ICE Mortgage Technology Encompass,Password,If applicable,"Enter the integration user password if required.","Treat as sensitive. Rotate after setup if sent outside a vault."
ICE Encompass,ICE Mortgage Technology Encompass,Allowed Data Domains,Yes,"Confirm access to loans, pipeline, milestones, conditions, eFolder/documents, compliance, users/organizations, and webhooks.","Scopes must match selected Corelytics data domains."
ICE Encompass,ICE Mortgage Technology Encompass,IP Allowlist Requirements,If applicable,"List any IP addresses that must be allowed or provide allowlist instructions.","Corelytics may need customer IT approval."
ICE Encompass,ICE Mortgage Technology Encompass,API / SDK License Confirmed,Yes,"Confirm that API access is licensed and enabled.","Corelytics cannot validate without licensed API access."
Profit Power Enterprise,LANTRAX Profit Power Enterprise,Environment,Yes,"Enter Test or Production.","Used to separate implementation testing from live imports."
Profit Power Enterprise,LANTRAX Profit Power Enterprise,API Base URL,If available,"Enter API or reporting endpoint base URL, if Profit Power API access is enabled.","If no API exists, provide export/report delivery method instead."
Profit Power Enterprise,LANTRAX Profit Power Enterprise,API Key / Token,If available,"Enter API key, bearer token, or integration token.","Treat as sensitive."
Profit Power Enterprise,LANTRAX Profit Power Enterprise,Username / Service Account,Yes,"Enter service account username for API, SFTP, or report portal access.","Prefer read-only account with export permissions."
Profit Power Enterprise,LANTRAX Profit Power Enterprise,Password,Yes,"Enter service account password.","Treat as sensitive."
Profit Power Enterprise,LANTRAX Profit Power Enterprise,SFTP Host,If applicable,"Enter SFTP host for scheduled report delivery.","Needed if CSV/report exports are delivered by SFTP."
Profit Power Enterprise,LANTRAX Profit Power Enterprise,SFTP Username,If applicable,"Enter SFTP username.","Use dedicated Corelytics dropbox user if possible."
Profit Power Enterprise,LANTRAX Profit Power Enterprise,SFTP Password or SSH Key,If applicable,"Enter SFTP password or provide SSH public/private key exchange instructions.","Treat private keys as sensitive."
Profit Power Enterprise,LANTRAX Profit Power Enterprise,Report Export Location,If applicable,"Enter folder path, saved report name, or scheduled export destination.","Needed for associates, listings, closings, commissions, splits, escrow, AR, and lookup tables."
Profit Power Enterprise,LANTRAX Profit Power Enterprise,Allowed Data Domains,Yes,"Confirm access to agents, offices, listings, closings, clients, commissions, splits, allocations, closing payments, escrow, AR, recruiting, marketing, and lookup tables.","Disable any unavailable domains in Site Admin."
RamQuest Title Production,RamQuest,Environment,Yes,"Enter Test or Production.","Used to route title production imports."
RamQuest Title Production,RamQuest,API Base URL,If available,"Enter API endpoint URL if RamQuest API access is enabled.","If unavailable, provide report/export delivery details."
RamQuest Title Production,RamQuest,API Key / Token,If available,"Enter API key or integration token.","Treat as sensitive."
RamQuest Title Production,RamQuest,Username / Service Account,Yes,"Enter service account username for API, portal, database view, SFTP, or report export access.","Prefer read-only/export-only permissions."
RamQuest Title Production,RamQuest,Password,Yes,"Enter service account password.","Treat as sensitive."
RamQuest Title Production,RamQuest,SFTP Host,If applicable,"Enter SFTP host for scheduled export delivery.","Needed for file-based integrations."
RamQuest Title Production,RamQuest,SFTP Username,If applicable,"Enter SFTP username.","Use dedicated integration account."
RamQuest Title Production,RamQuest,SFTP Password or SSH Key,If applicable,"Enter SFTP password or SSH key exchange instructions.","Treat private keys as sensitive."
RamQuest Title Production,RamQuest,Saved Reports / Export Names,Yes,"List saved reports or exports for orders, closings, escrow, underwriters, premiums, fees, revenue, and production pipeline.","Corelytics will map these to title KPIs."
RamQuest Title Production,RamQuest,Allowed Data Domains,Yes,"Confirm access to orders, files, closings, escrow, underwriters, agents, customers, premiums, fees, revenue, and workflow statuses.","Disable unavailable domains in Site Admin."
RSMeans Project Management,RSMeans / Project Management,Environment,Yes,"Enter Test or Production.","Used to separate implementation from live imports."
RSMeans Project Management,RSMeans / Project Management,API Base URL,If available,"Enter API endpoint URL if available.","If no API access, provide export/report delivery details."
RSMeans Project Management,RSMeans / Project Management,API Key / Token,If available,"Enter API key, bearer token, or integration token.","Treat as sensitive."
RSMeans Project Management,RSMeans / Project Management,Username / Service Account,Yes,"Enter service account username for API, portal, SFTP, or report export access.","Prefer read-only/export-only permissions."
RSMeans Project Management,RSMeans / Project Management,Password,Yes,"Enter service account password.","Treat as sensitive."
RSMeans Project Management,RSMeans / Project Management,SFTP Host,If applicable,"Enter SFTP host for scheduled exports.","Needed for file-based project/cost data."
RSMeans Project Management,RSMeans / Project Management,SFTP Username,If applicable,"Enter SFTP username.","Use dedicated integration account."
RSMeans Project Management,RSMeans / Project Management,SFTP Password or SSH Key,If applicable,"Enter SFTP password or SSH key exchange instructions.","Treat private keys as sensitive."
RSMeans Project Management,RSMeans / Project Management,Saved Reports / Export Names,Yes,"List saved reports or exports for projects, budgets, estimates, cost codes, bids, change orders, invoices, vendors, and schedules.","Corelytics will map these to project and cost KPIs."
RSMeans Project Management,RSMeans / Project Management,Allowed Data Domains,Yes,"Confirm access to projects, estimates, budgets, actual costs, cost codes, vendors, bids, change orders, invoices, schedules, and forecasts.","Disable unavailable domains in Site Admin."
Buildout CRE,Buildout,Environment,Yes,"Enter Sandbox, Test, or Production.","Used to route CRE listing and deal pipeline imports."
Buildout CRE,Buildout,API Base URL,If available,"Enter Buildout API endpoint URL if enabled.","If no API access, provide export/report delivery details."
Buildout CRE,Buildout,API Key / Token,If available,"Enter API key, bearer token, or integration token.","Treat as sensitive."
Buildout CRE,Buildout,Username / Service Account,If applicable,"Enter service account username if API or portal access requires it.","Prefer read-only integration user."
Buildout CRE,Buildout,Password,If applicable,"Enter service account password if required.","Treat as sensitive."
Buildout CRE,Buildout,Organization / Account ID,Yes,"Enter Buildout organization, account, or company ID.","Used to scope API requests and exports."
Buildout CRE,Buildout,Webhook Secret,If applicable,"Enter webhook signing secret if event webhooks are enabled.","Needed only for event-driven sync."
Buildout CRE,Buildout,Saved Reports / Export Names,If applicable,"List saved exports for listings, properties, contacts, companies, assignments, activities, and deal pipeline.","Used if API access is not available."
Buildout CRE,Buildout,Allowed Data Domains,Yes,"Confirm access to properties, listings, availability, deals, contacts, companies, brokers, marketing activity, tasks, and pipeline stages.","Disable unavailable domains in Site Admin."
Applied Epic - Insurance Services,Applied Systems Applied Epic,Environment,Yes,"Enter Sandbox, Test, or Production.","Applied recommends sandbox testing before production."
Applied Epic - Insurance Services,Applied Systems Applied Epic,API Base URL,Yes,"Enter Applied Epic API base URL for the selected environment.","Provided through Applied Epic SDK/API setup."
